epoch,train_loss,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1,lr
1,2.103166667019823,validation,1.866228128393618,0.5319488817891374,0.39673696109247486,0.32305480795662944,0.5164086605822563,0.001
2,1.883246921458045,validation,2.1448174572219485,0.34384984025559107,0.22449115477128384,0.213829464127232,0.28211971242931444,0.001
3,1.7920877481196855,validation,1.76120881436351,0.4353035143769968,0.35457332327083224,0.31661019126596307,0.4672796403775156,0.001
4,1.7226684750851327,validation,1.7893361763451427,0.527555910543131,0.41081006149132987,0.359018189662151,0.5406781505806645,0.001
5,1.6551099335265695,validation,1.5910538484494146,0.5263578274760383,0.4364821542932762,0.3724523250670798,0.549209569399555,0.001
6,1.6343287264994104,validation,1.7720594760328054,0.5279552715654952,0.38829130716184174,0.3395610235969421,0.535986997270612,0.001
7,1.5944143887309783,validation,1.6596767544365538,0.4812300319488818,0.4110968523488644,0.35738910007680047,0.5205298424618077,0.001
8,1.5591195783431124,validation,1.5789380660072303,0.5399361022364217,0.42446516482165375,0.3826271308978686,0.5814184234453567,0.001
9,1.535955767635364,validation,1.7611204953239368,0.4001597444089457,0.40439775379484943,0.31097684979601836,0.4207544573059615,0.001
10,1.4913904364565178,validation,1.5479702667687267,0.6058306709265175,0.4503300076143889,0.3908069941210296,0.6196507995372003,0.001
11,1.4585972691847198,validation,1.6148140068633108,0.6098242811501597,0.39378566979683866,0.37804198098773484,0.621355634284441,0.001
12,1.4389961932537256,validation,1.6565653135220464,0.5587060702875399,0.45754905775448496,0.3890887892550641,0.5934393506219588,0.001
13,1.3977754691981044,validation,1.632076558975366,0.4748402555910543,0.4335503486330643,0.3365535003826122,0.5221475951893086,0.0005
14,1.3167121534945496,validation,1.4638323799108925,0.615814696485623,0.45808884295454205,0.427239060106925,0.6358994174569808,0.0005
15,1.3041219638954022,validation,1.5020485400391843,0.6413738019169329,0.4638099395513755,0.4208097506232695,0.6458570023509408,0.0005
16,1.283595854254781,validation,1.5297078408372289,0.59185303514377,0.47590549001212357,0.42577710938190116,0.618019508195053,0.0005
17,1.2494911061318357,validation,1.5740748240163152,0.5690894568690096,0.4999951227102368,0.42511512686206476,0.6106197955395343,0.00025
18,1.1946988657739768,validation,1.3981336564682543,0.6202076677316294,0.49439922665075503,0.43878826027175655,0.6398062137686635,0.00025
19,1.1875780840730743,validation,1.41457448142786,0.6094249201277955,0.49882210060739446,0.44379417611331007,0.6360750740293724,0.00025
20,1.1459231152890963,validation,1.4345412121032373,0.5978434504792333,0.49393111308520876,0.4353721736393201,0.6318765605727934,0.00025
21,1.1415690956008395,validation,1.4188122954993203,0.5874600638977636,0.48447499218892054,0.4253907875158537,0.6167463667179995,0.00025
22,1.1511856979927066,validation,1.4294697042471303,0.610223642172524,0.49261187089163255,0.4432691184797396,0.6357842870712554,0.000125
23,1.1093966454938293,validation,1.3729944792799293,0.6381789137380192,0.511347360737039,0.44965116858498577,0.654533543833187,0.000125
24,1.0909928578368338,validation,1.3932890450230802,0.6317891373801917,0.5035842794743165,0.44102077640770104,0.6485334660578115,0.000125
25,1.076219609480387,validation,1.4370286403753507,0.6078274760383386,0.5027927286971733,0.4236486669545886,0.6321868216325822,0.000125
26,1.0923449222202086,validation,1.4113938298088293,0.6162140575079872,0.49257925164742244,0.4401074264729727,0.6408523067060452,6.25e-05
27,1.060122497667262,validation,1.3909055508744603,0.6405750798722045,0.5014971319632943,0.45148272843891624,0.657019743827086,6.25e-05
28,1.050033467136012,validation,1.3880773756069877,0.6325878594249201,0.49446732134809157,0.44106363534722837,0.6488450322491937,6.25e-05
29,1.0366760334209615,validation,1.3864891719513428,0.6369808306709265,0.49883526161144864,0.4479559813792659,0.6546098135749658,6.25e-05
30,1.0524675149195064,validation,1.3906186422981774,0.6429712460063898,0.5045568894650754,0.4601080422030913,0.661303962290245,6.25e-05
