,CNN Precision,CNN Recall,CNN F1,Decoupled Precision,Decoupled Recall,Decoupled F1,F1 Change,F1 Change (pp)
Blues,0.2142857142857142,0.375,0.2727272727272727,0.1020408163265306,0.625,0.175438596491228,-0.0972886762360447,-9.72886762360447
Classical,0.6162790697674418,0.8548387096774194,0.7162162162162162,0.5869565217391305,0.8709677419354839,0.7012987012987013,-0.014917514917514918,-1.4917514917514918
Country,0.1568627450980392,0.4444444444444444,0.2318840579710145,0.2142857142857142,0.5,0.3,0.0681159420289855,6.811594202898549
Easy Listening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronic,0.8323699421965318,0.6835443037974683,0.7506516072980017,0.8631178707224335,0.7183544303797469,0.7841105354058722,0.033458928107870434,3.3458928107870434
Experimental,0.3933054393305439,0.4177777777777778,0.4051724137931034,0.4519230769230769,0.4177777777777778,0.4341801385681293,0.02900772477502589,2.900772477502589
Folk,0.3163841807909605,0.3684210526315789,0.3404255319148936,0.3571428571428571,0.3618421052631579,0.3594771241830065,0.01905159226811287,1.9051592268112871
Hip-Hop,0.7280701754385965,0.7545454545454545,0.7410714285714286,0.7804878048780488,0.7272727272727273,0.7529411764705882,0.011869747899159622,1.1869747899159622
Instrumental,0.3121951219512195,0.367816091954023,0.337730870712401,0.39375,0.3620689655172414,0.3772455089820359,0.039514638269634916,3.951463826963492
International,0.4935064935064935,0.3725490196078431,0.4245810055865922,0.6785714285714286,0.3725490196078431,0.4810126582278481,0.056431652641255936,5.643165264125594
Jazz,0.3962264150943396,0.5384615384615384,0.4565217391304347,0.3571428571428571,0.6410256410256411,0.4587155963302752,0.0021938571998404988,0.21938571998404988
Old-Time / Historic,0.9444444444444444,1.0,0.9714285714285714,0.9433962264150944,0.9803921568627452,0.9615384615384616,-0.009890109890109855,-0.9890109890109855
Pop,0.234375,0.3781512605042016,0.2893890675241157,0.2167832167832167,0.2605042016806723,0.2366412213740458,-0.05274784615006989,-5.274784615006989
Rock,0.8722316865417377,0.7211267605633803,0.7895142636854279,0.8453292496171516,0.7774647887323943,0.80997798972854,0.020463726043112085,2.0463726043112085
Soul-RnB,0.1224489795918367,0.1428571428571428,0.1318681318681318,0.14,0.1666666666666666,0.1521739130434782,0.0203057811753464,2.03057811753464
Spoken,0.25,0.8333333333333334,0.3846153846153846,0.1929824561403508,0.9166666666666666,0.3188405797101449,-0.06577480490523968,-6.577480490523968
